 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200709.09 | 2007/09/26 10:09 | 261 | 082 | 302 | 220 | 1609 | 0301 | 1073 | 1967
 C200709.10 | 2007/09/26 22:09 | 268 | 060 | 298 | 238 | 1416 | 0304 | 0823 | 1967
 C200709.11 | 2007/09/28 17:29 | 246 | 052 | 272 | 220 | 1686 | 0274 | 1311 | 1967
 C200710.01 | 2007/10/04 09:29 | 247 | 030 | 262 | 232 | 1475 | 0146 | 1180 | 1770
 C200710.02 | 2007/10/04 13:29 | 288 | 016 | 296 | 280 | 1648 | 0118 | 1416 | 1770
 C200710.03 | 2007/10/09 01:29 | 277 | 054 | 304 | 250 | 0319 | 0018 | 0283 | 0361
 C200710.04 | 2007/10/10 07:29 | 246 | 044 | 268 | 224 | 1967 | 0086 | 1770 | 1967
 C200710.05 | 2007/10/18 06:49 | 244 | 044 | 266 | 222 | 1864 | 0080 | 1686 | 1967
 C200710.06 | 2007/10/18 16:09 | 278 | 060 | 308 | 248 | 1864 | 0245 | 1311 | 1967
 C200710.07 | 2007/10/20 22:49 | 256 | 048 | 280 | 232 | 1864 | 0075 | 1770 | 1967
 C200710.08 | 2007/10/21 08:49 | 294 | 040 | 314 | 274 | 1864 | 0147 | 1539 | 1967
 C200710.09 | 2007/10/23 17:29 | 280 | 072 | 316 | 244 | 1967 | 0074 | 1770 | 1967
 C200710.10 | 2007/10/24 23:29 | 249 | 014 | 256 | 242 | 0321 | 0011 | 0302 | 0340
 C200710.11 | 2007/10/28 07:29 | 254 | 028 | 268 | 240 | 1864 | 0093 | 1686 | 1967
 C200710.12 | 2007/10/31 17:29 | 243 | 046 | 266 | 220 | 1916 | 0147 | 1539 | 1967 (dup. C200711.01)
 C200711.01 | 2007/10/31 18:09 | 243 | 046 | 266 | 220 | 1916 | 0147 | 1539 | 1967 (dup. C200710.12)
 C200711.02 | 2007/11/03 17:29 | 258 | 076 | 296 | 220 | 1864 | 0073 | 1770 | 1967
 C200711.03 | 2007/11/04 06:49 | 271 | 022 | 282 | 260 | 0758 | 0822 | 0181 | 1967
 C200711.04 | 2007/11/05 00:49 | 277 | 010 | 282 | 272 | 0251 | 0023 | 0224 | 0292
 C200711.05 | 2007/11/06 17:29 | 279 | 010 | 284 | 274 | 0225 | 0009 | 0214 | 0244
 C200711.06 | 2007/11/07 14:49 | 250 | 024 | 262 | 238 | 1864 | 0084 | 1686 | 1967
 C200711.07 | 2007/11/09 04:49 | 255 | 038 | 274 | 236 | 1916 | 0051 | 1864 | 1967
 C200711.08 | 2007/11/11 16:49 | 290 | 052 | 316 | 264 | 1967 | 0085 | 1770 | 1967
 C200711.09 | 2007/11/12 11:29 | 269 | 038 | 288 | 250 | 1967 | 0097 | 1770 | 1967
 C200711.10 | 2007/11/15 04:09 | 247 | 046 | 270 | 224 | 0482 | 0055 | 0384 | 0621
 C200711.11 | 2007/11/16 15:29 | 264 | 048 | 288 | 240 | 0334 | 0912 | 0283 | 1967
 C200711.12 | 2007/11/17 15:29 | 247 | 038 | 266 | 228 | 1864 | 0147 | 1539 | 1967
 C200711.13 | 2007/11/18 16:49 | 253 | 030 | 268 | 238 | 1916 | 0138 | 1609 | 1967
 C200711.14 | 2007/11/21 01:29 | 254 | 024 | 266 | 242 | 1770 | 0514 | 0863 | 1967
 C200711.15 | 2007/11/23 20:09 | 259 | 074 | 296 | 222 | 1864 | 0196 | 1475 | 1967
 C200711.16 | 2007/11/27 08:49 | 242 | 048 | 266 | 218 | 1864 | 0147 | 1539 | 1967
 C200711.17 | 2007/11/27 20:49 | 266 | 088 | 310 | 222 | 1864 | 0140 | 1539 | 1967
 C200711.18 | 2007/11/28 20:49 | 242 | 048 | 266 | 218 | 1864 | 0147 | 1539 | 1967
 C200711.19 | 2007/11/29 20:09 | 246 | 052 | 272 | 220 | 1864 | 0142 | 1539 | 1967
 C200711.20 | 2007/11/29 23:29 | 243 | 042 | 264 | 222 | 1916 | 0171 | 1539 | 1967
 C200712.01 | 2007/12/01 10:49 | 283 | 058 | 312 | 254 | 1005 | 0782 | 0242 | 1967
 C200712.02 | 2007/12/04 12:49 | 272 | 044 | 294 | 250 | 0354 | 0018 | 0316 | 0380
 C200712.03 | 2007/12/05 23:29 | 254 | 040 | 274 | 234 | 1863 | 1005 | 0249 | 1967
 C200712.04 | 2007/12/09 02:09 | 276 | 024 | 288 | 264 | 0421 | 0024 | 0365 | 0448
 C200712.05 | 2007/12/09 18:09 | 246 | 040 | 266 | 226 | 1967 | 0080 | 1770 | 1967
 C200712.06 | 2007/12/13 15:29 | 286 | 044 | 308 | 264 | 1864 | 0064 | 1770 | 1864
 C200712.07 | 2007/12/14 19:29 | 263 | 078 | 302 | 224 | 1967 | 0088 | 1770 | 1967
 C200712.08 | 2007/12/15 12:09 | 258 | 072 | 294 | 222 | 1770 | 0152 | 1475 | 1967
 C200712.09 | 2007/12/16 03:29 | 247 | 010 | 252 | 242 | 0273 | 0015 | 0245 | 0287
 C200712.10 | 2007/12/16 06:09 | 276 | 012 | 282 | 270 | 0319 | 0027 | 0278 | 0347
 C200712.11 | 2007/12/17 20:49 | 260 | 024 | 272 | 248 | 1686 | 0768 | 0305 | 1864
 C200712.12 | 2007/12/19 12:09 | 257 | 070 | 292 | 222 | 1728 | 0161 | 1362 | 1967
 C200712.13 | 2007/12/22 06:49 | 285 | 054 | 312 | 258 | 1817 | 0111 | 1539 | 1967
 C200801.01 | 2008/01/19 14:49 | 285 | 014 | 292 | 278 | 0256 | 0027 | 0204 | 0300
 C200801.02 | 2008/01/21 01:29 | 269 | 010 | 274 | 264 | 1073 | 0131 | 0983 | 1311
 C200801.03 | 2008/01/22 06:49 | 257 | 014 | 264 | 250 | 1864 | 0054 | 1770 | 1864
 C200801.04 | 2008/01/24 14:09 | 253 | 018 | 262 | 244 | 1967 | 0068 | 1864 | 1967
 C200801.05 | 2008/01/29 11:29 | 274 | 036 | 292 | 256 | 0242 | 0019 | 0213 | 0283
 C200801.06 | 2008/01/30 16:09 | 286 | 012 | 292 | 280 | 0316 | 0033 | 0287 | 0372
 C200802.01 | 2008/02/04 11:29 | 298 | 020 | 308 | 288 | 0389 | 0021 | 0357 | 0426
 C200802.02 | 2008/02/07 07:29 | 279 | 078 | 318 | 240 | 1770 | 0132 | 1539 | 1967
 C200802.03 | 2008/02/08 05:29 | 278 | 036 | 296 | 260 | 1967 | 0090 | 1770 | 1967
 C200802.04 | 2008/02/12 08:49 | 265 | 058 | 294 | 236 | 1686 | 0757 | 0283 | 1967
 C200802.05 | 2008/02/16 16:09 | 274 | 036 | 292 | 256 | 0885 | 0690 | 0233 | 1864
 C200802.06 | 2008/02/20 14:09 | 274 | 024 | 286 | 262 | 0283 | 0020 | 0274 | 0327
 C200802.07 | 2008/02/27 04:09 | 259 | 026 | 272 | 246 | 1864 | 0136 | 1475 | 1967
 C200802.08 | 2008/02/27 04:09 | 305 | 014 | 312 | 298 | 1728 | 0117 | 1539 | 1864
 C200802.09 | 2008/02/27 20:49 | 273 | 038 | 292 | 254 | 0204 | 0048 | 0171 | 0307
 C200803.01 | 2008/03/01 15:29 | 265 | 014 | 272 | 258 | 1046 | 0810 | 0130 | 1864
 C200803.02 | 2008/03/02 04:49 | 239 | 034 | 256 | 222 | 0372 | 0044 | 0272 | 0407
 C200803.03 | 2008/03/02 09:29 | 281 | 018 | 290 | 272 | 1817 | 0060 | 1686 | 1864
 C200803.04 | 2008/03/03 15:29 | 281 | 030 | 296 | 266 | 1609 | 0117 | 1416 | 1686
 C200803.05 | 2008/03/04 07:29 | 258 | 072 | 294 | 222 | 1864 | 0084 | 1686 | 1967
 C200803.06 | 2008/03/04 22:09 | 255 | 022 | 266 | 244 | 0336 | 0843 | 0258 | 1863
 C200803.07 | 2008/03/05 13:29 | 248 | 040 | 268 | 228 | 0393 | 0053 | 0285 | 0454
 C200803.08 | 2008/03/07 00:49 | 260 | 024 | 272 | 248 | 1770 | 0064 | 1686 | 1864
 C200803.09 | 2008/03/11 16:09 | 293 | 010 | 298 | 288 | 0394 | 0049 | 0302 | 0437
 C200803.10 | 2008/03/16 23:29 | 251 | 046 | 274 | 228 | 1864 | 0119 | 1539 | 1967
 C200803.11 | 2008/03/17 17:29 | 271 | 082 | 312 | 230 | 1288 | 0585 | 0316 | 1967
 C200803.12 | 2008/03/19 06:49 | 270 | 068 | 304 | 236 | 1864 | 0133 | 1539 | 1967
 C200803.13 | 2008/03/19 14:09 | 304 | 016 | 312 | 296 | 1609 | 0107 | 1475 | 1770
 C200803.14 | 2008/03/21 03:29 | 271 | 050 | 296 | 246 | 1416 | 0331 | 1311 | 1967
 C200803.15 | 2008/03/23 17:29 | 270 | 020 | 280 | 260 | 0222 | 0040 | 0208 | 0305
 C200803.16 | 2008/03/25 08:49 | 297 | 062 | 328 | 266 | 1967 | 0186 | 1475 | 1967
 C200803.17 | 2008/03/25 16:49 | 268 | 024 | 280 | 256 | 0343 | 0792 | 0281 | 1770
 C200803.18 | 2008/03/26 04:49 | 284 | 020 | 294 | 274 | 1770 | 0113 | 1686 | 1967
 C200803.19 | 2008/03/27 04:09 | 276 | 024 | 288 | 264 | 1686 | 0971 | 0237 | 1967
 C200804.01 | 2008/04/01 13:29 | 260 | 080 | 300 | 220 | 1770 | 0216 | 1311 | 1864
 C200804.02 | 2008/04/02 03:29 | 266 | 036 | 284 | 248 | 1863 | 0000 | 1863 | 1864
 C200804.03 | 2008/04/03 02:09 | 271 | 050 | 296 | 246 | 1137 | 0757 | 0319 | 1967
 C200804.04 | 2008/04/04 04:09 | 286 | 036 | 304 | 268 | 1864 | 0250 | 1106 | 1967
 C200804.05 | 2008/04/05 19:29 | 261 | 086 | 304 | 218 | 0496 | 0092 | 0310 | 0643
 C200804.06 | 2008/04/06 05:29 | 262 | 024 | 274 | 250 | 0361 | 0025 | 0313 | 0397
 C200804.07 | 2008/04/08 02:49 | 274 | 080 | 314 | 234 | 1916 | 0061 | 1770 | 1967
 C200804.08 | 2008/04/09 16:09 | 241 | 026 | 254 | 228 | 0365 | 0043 | 0278 | 0416
 C200804.09 | 2008/04/13 10:09 | 251 | 046 | 274 | 228 | 1864 | 0082 | 1770 | 1967
 C200804.10 | 2008/04/17 11:29 | 265 | 014 | 272 | 258 | 1112 | 0788 | 0290 | 1967
 C200804.11 | 2008/04/19 20:49 | 249 | 054 | 276 | 222 | 1864 | 0112 | 1539 | 1967
 C200804.12 | 2008/04/23 04:49 | 271 | 066 | 304 | 238 | 1770 | 0076 | 1686 | 1864
 C200804.13 | 2008/04/26 20:09 | 285 | 062 | 316 | 254 | 0321 | 0065 | 0217 | 0431
 C200804.14 | 2008/04/28 22:09 | 283 | 070 | 318 | 248 | 1863 | 0074 | 1770 | 1967
 C200804.15 | 2008/04/29 15:29 | 286 | 072 | 322 | 250 | 1864 | 0096 | 1609 | 1967
 C200805.01 | 2008/04/30 10:49 | 281 | 074 | 318 | 244 | 1916 | 0056 | 1770 | 1967 (dup. C200804.16)
 C200804.16 | 2008/04/30 10:49 | 283 | 078 | 322 | 244 | 1916 | 0056 | 1770 | 1967 (dup. C200805.01)
 C200805.02 | 2008/05/03 23:29 | 284 | 040 | 304 | 264 | 1967 | 0133 | 1539 | 1967
 C200805.03 | 2008/05/07 02:09 | 279 | 038 | 298 | 260 | 0372 | 0046 | 0297 | 0472
 C200805.04 | 2008/05/08 15:29 | 279 | 010 | 284 | 274 | 0295 | 0056 | 0239 | 0384
 C200805.05 | 2008/05/09 00:49 | 253 | 054 | 280 | 226 | 1864 | 0148 | 1539 | 1967
 C200805.06 | 2008/05/15 01:29 | 268 | 088 | 312 | 224 | 1574 | 0106 | 1362 | 1770
 C200805.07 | 2008/05/15 14:49 | 263 | 034 | 280 | 246 | 1264 | 0134 | 1011 | 1475
 C200805.08 | 2008/05/17 06:49 | 254 | 032 | 270 | 238 | 1864 | 0188 | 1539 | 1967
 C200805.09 | 2008/05/20 04:09 | 272 | 020 | 282 | 262 | 1311 | 0040 | 1264 | 1362
 C200805.10 | 2008/05/20 22:49 | 265 | 018 | 274 | 256 | 1775 | 0426 | 1011 | 1967
 C200805.11 | 2008/05/24 02:09 | 249 | 018 | 258 | 240 | 0396 | 0016 | 0376 | 0421
 C200805.12 | 2008/05/26 12:49 | 296 | 012 | 302 | 290 | 0320 | 0015 | 0285 | 0327
 C200806.01 | 2008/06/23 00:09 | 304 | 040 | 324 | 284 | 1864 | 0142 | 1609 | 1967
 C200807.01 | 2008/06/30 11:29 | 276 | 016 | 284 | 268 | 1288 | 0196 | 0957 | 1609
 C200807.02 | 2008/07/01 00:49 | 281 | 018 | 290 | 272 | 0258 | 0043 | 0204 | 0340
 C200807.03 | 2008/07/07 08:49 | 290 | 040 | 310 | 270 | 1416 | 0062 | 1362 | 1539
 C200807.04 | 2008/07/08 04:49 | 243 | 014 | 250 | 236 | 0376 | 0015 | 0361 | 0407
 C200807.05 | 2008/07/16 12:50 | 265 | 010 | 270 | 260 | 0946 | 0493 | 0694 | 1967
 C200807.06 | 2008/07/18 22:50 | 276 | 084 | 318 | 234 | 1864 | 0124 | 1539 | 1967
 C200807.07 | 2008/07/20 05:30 | 278 | 088 | 322 | 234 | 1686 | 0193 | 1416 | 1967
 C200807.08 | 2008/07/21 06:50 | 287 | 010 | 292 | 282 | 1916 | 0291 | 1416 | 1967
 C200808.01 | 2008/08/03 04:10 | 279 | 054 | 306 | 252 | 1967 | 0173 | 1539 | 1967
 C200808.02 | 2008/08/12 18:50 | 290 | 012 | 296 | 284 | 1609 | 0194 | 1362 | 1967
 C200808.03 | 2008/08/15 08:50 | 300 | 044 | 322 | 278 | 1916 | 0151 | 1609 | 1967
 C200808.04 | 2008/08/17 07:30 | 272 | 036 | 290 | 254 | 0357 | 0052 | 0274 | 0466
 C200808.05 | 2008/08/18 01:30 | 261 | 034 | 278 | 244 | 0292 | 0074 | 0249 | 0411
 C200808.06 | 2008/08/27 07:30 | 253 | 046 | 276 | 230 | 1967 | 0176 | 1539 | 1967
 C200809.01 | 2008/08/31 05:30 | 257 | 054 | 284 | 230 | 0585 | 0835 | 0295 | 1967 (dup. C200808.07)
 C200808.07 | 2008/08/31 05:30 | 262 | 068 | 296 | 228 | 0416 | 0834 | 0290 | 1967 (dup. C200809.01)
 C200809.02 | 2008/08/31 08:50 | 305 | 014 | 312 | 298 | 1648 | 0106 | 1539 | 1864 (dup. C200808.08)
 C200808.08 | 2008/08/31 08:50 | 305 | 014 | 312 | 298 | 1648 | 0106 | 1539 | 1864 (dup. C200809.02)
 C200809.03 | 2008/08/31 14:10 | 252 | 024 | 264 | 240 | 1967 | 0394 | 0983 | 1967
 C200809.04 | 2008/09/05 01:30 | 254 | 044 | 276 | 232 | 1864 | 0137 | 1539 | 1967
 C200809.05 | 2008/09/06 03:30 | 251 | 050 | 276 | 226 | 1864 | 0132 | 1609 | 1967
 C200809.06 | 2008/09/08 04:10 | 254 | 040 | 274 | 234 | 1770 | 0155 | 1475 | 1967
 C200809.07 | 2008/09/08 18:10 | 249 | 014 | 256 | 242 | 1686 | 0076 | 1539 | 1770
 C200809.08 | 2008/09/11 02:10 | 264 | 024 | 276 | 252 | 1770 | 0228 | 1416 | 1967
 C200809.09 | 2008/09/16 18:10 | 296 | 024 | 308 | 284 | 1609 | 0080 | 1539 | 1770
 C200809.10 | 2008/09/17 20:50 | 295 | 042 | 316 | 274 | 1770 | 0150 | 1475 | 1864
 C200809.11 | 2008/09/17 21:30 | 248 | 028 | 262 | 234 | 1770 | 0123 | 1539 | 1864
 C200809.12 | 2008/09/21 18:10 | 255 | 022 | 266 | 244 | 1609 | 0210 | 1539 | 1967
 C200809.13 | 2008/09/23 04:50 | 274 | 084 | 316 | 232 | 1161 | 0060 | 1011 | 1264
 C200809.14 | 2008/09/24 00:50 | 251 | 026 | 264 | 238 | 1416 | 0075 | 1311 | 1539
