 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200804.06 | 2008/04/23 21:29 | 084 | 020 | 074 | 094 | 1770 | 0107 | 1686 | 1967
 C200804.07 | 2008/04/24 06:49 | 120 | 028 | 106 | 134 | 0334 | 0046 | 0231 | 0368
 C200804.08 | 2008/04/26 16:49 | 091 | 098 | 042 | 140 | 0553 | 0091 | 0380 | 0708
 C200805.01 | 2008/05/11 11:29 | 070 | 016 | 062 | 078 | 0361 | 0245 | 0281 | 0908
 C200805.02 | 2008/05/16 18:49 | 116 | 020 | 106 | 126 | 0295 | 0054 | 0249 | 0431
 C200805.03 | 2008/05/17 12:09 | 100 | 056 | 072 | 128 | 0769 | 0145 | 0459 | 0983
 C200805.04 | 2008/05/19 07:29 | 094 | 012 | 088 | 100 | 0590 | 0044 | 0544 | 0668
 C200805.05 | 2008/05/20 02:49 | 065 | 010 | 060 | 070 | 0232 | 0026 | 0208 | 0276
 C200805.06 | 2008/05/22 00:09 | 106 | 032 | 090 | 122 | 0380 | 0149 | 0276 | 0753
 C200805.07 | 2008/05/25 22:49 | 086 | 056 | 058 | 114 | 0283 | 0025 | 0222 | 0330
 C200806.01 | 2008/06/02 09:29 | 096 | 060 | 066 | 126 | 0337 | 0025 | 0295 | 0397
 C200806.02 | 2008/06/08 00:09 | 113 | 022 | 102 | 124 | 0307 | 0018 | 0272 | 0327
 C200806.03 | 2008/06/09 02:09 | 108 | 016 | 100 | 116 | 0361 | 0022 | 0321 | 0397
 C200806.04 | 2008/06/10 17:29 | 069 | 026 | 056 | 082 | 0668 | 0145 | 0397 | 0908
 C200806.05 | 2008/06/12 13:29 | 085 | 070 | 050 | 120 | 0367 | 0083 | 0249 | 0544
 C200806.06 | 2008/06/13 01:29 | 101 | 010 | 096 | 106 | 0244 | 0022 | 0229 | 0292
 C200806.07 | 2008/06/19 01:29 | 109 | 014 | 102 | 116 | 0292 | 0036 | 0214 | 0337
 C200806.08 | 2008/06/20 20:09 | 076 | 012 | 070 | 082 | 0302 | 0017 | 0272 | 0327
 C200807.01 | 2008/07/06 19:29 | 109 | 018 | 100 | 118 | 0360 | 0029 | 0300 | 0389
 C200807.02 | 2008/07/07 20:09 | 116 | 052 | 090 | 142 | 0562 | 0098 | 0498 | 0863
 C200807.03 | 2008/07/12 22:09 | 095 | 014 | 088 | 102 | 0435 | 0057 | 0337 | 0505
 C200807.04 | 2008/07/19 20:49 | 073 | 010 | 068 | 078 | 0275 | 0005 | 0266 | 0281
 C200807.05 | 2008/07/28 18:49 | 098 | 012 | 092 | 104 | 0247 | 0014 | 0237 | 0272
 C200807.06 | 2008/07/30 12:09 | 099 | 010 | 094 | 104 | 0313 | 0018 | 0290 | 0347
 C200807.07 | 2008/07/31 08:49 | 067 | 010 | 062 | 072 | 0319 | 0016 | 0302 | 0347 (dup. C200808.01)
 C200808.01 | 2008/07/31 08:49 | 067 | 010 | 062 | 072 | 0319 | 0021 | 0287 | 0347 (dup. C200807.07)
 C200808.02 | 2008/08/04 05:29 | 111 | 034 | 094 | 128 | 0400 | 0075 | 0240 | 0513
 C200808.03 | 2008/08/07 16:09 | 098 | 036 | 080 | 116 | 0300 | 0025 | 0272 | 0354
 C200808.04 | 2008/08/10 18:09 | 080 | 016 | 072 | 088 | 0367 | 0017 | 0330 | 0384
 C200808.05 | 2008/08/11 06:49 | 079 | 034 | 062 | 096 | 1542 | 0746 | 0268 | 1864
 C200808.06 | 2008/08/13 00:09 | 070 | 020 | 060 | 080 | 1817 | 0085 | 1770 | 1967
 C200808.07 | 2008/08/17 00:49 | 082 | 012 | 076 | 088 | 0302 | 0029 | 0268 | 0350
 C200808.08 | 2008/08/17 22:09 | 083 | 010 | 078 | 088 | 0300 | 0006 | 0292 | 0307
 C200808.09 | 2008/08/20 07:29 | 080 | 044 | 058 | 102 | 0215 | 0015 | 0181 | 0236
 C200808.10 | 2008/08/21 12:49 | 067 | 014 | 060 | 074 | 0285 | 0035 | 0222 | 0319
 C200808.11 | 2008/08/31 00:09 | 109 | 062 | 078 | 140 | 0491 | 0074 | 0354 | 0668
 C200808.01 | 2008/08/31 04:09 | 109 | 062 | 078 | 140 | 0675 | 0358 | 0437 | 1416
