date,time,cpa,width,lin_speed,quad_speed_init,quad_speed_final,quad_speed_20,accel,mpa,remarks
1996/09/03,23:10:10,86.0,31,260.0,,,,,86,Only 2 points; Only C2
1996/09/04,23:05:05,243.0,13,255.0,278.0,234.0,0.0,-3.8,248,Only 3 points
1996/09/07,09:57:08,294.0,8,127.0,106.0,148.0,187.0,1.1,292,Only C3
1996/09/08,12:45:06,93.0,46,195.0,195.0,196.0,196.0,0.0,96,Poor Event; Only C3
1996/09/09,01:50:06,246.0,63,146.0,167.0,123.0,0.0,-2.0,233,Poor Event
1996/09/09,07:10:06,285.0,61,245.0,95.0,384.0,400.0,6.8,292,
1996/09/17,11:10:05,266.0,27,410.0,,,,,265,Very Poor Event; Only 2 points; Only C2
1996/09/17,20:50:08,269.0,15,71.0,,,,,271,Poor Event; Only 2 points; Only C2
1996/09/18,00:10:05,285.0,59,191.0,181.0,201.0,215.0,0.6,298,
1996/09/19,06:20:05,248.0,28,120.0,203.0,44.0,0.0,-17.0,247,Very Poor Event; Only 3 points; Only C2
1996/09/20,04:35:08,244.0,19,128.0,0.0,305.0,478.0,9.9,252,Poor Event
1996/09/20,18:50:56,75.0,33,274.0,145.0,415.0,354.0,4.4,72,
1996/09/22,02:01:58,70.0,32,188.0,151.0,225.0,284.0,2.7,71,Poor Event
1996/09/24,12:52:05,73.0,40,250.0,258.0,242.0,235.0,-0.6,65,Poor Event; Only C3
1996/09/26,05:05:05,205.0,103,201.0,108.0,284.0,355.0,5.7,242,Only C3
1996/09/27,11:42:05,277.0,17,276.0,99.0,429.0,632.0,16.1,272,
1996/09/29,07:09:37,313.0,32,164.0,92.0,234.0,383.0,5.9,304,
1996/10/01,00:20:05,258.0,52,320.0,289.0,352.0,377.0,2.9,254,Poor Event
1996/10/04,03:15:05,299.0,28,355.0,545.0,172.0,158.0,-17.4,293,Only C3
1996/10/05,09:37:05,228.0,247,569.0,412.0,729.0,748.0,16.8,312,The width was changed from 161 to 247 deg on 2012/01/30. ; Partial Halo
1996/10/08,14:10:08,229.0,21,154.0,181.0,129.0,0.0,-4.3,231,Poor Event
1996/10/09,00:25:06,221.0,13,299.0,286.0,313.0,382.0,2.7,227,Only 3 points
1996/10/11,02:50:06,111.0,45,209.0,148.0,271.0,420.0,7.0,108,Poor Event
1996/10/14,15:15:05,268.0,37,195.0,65.0,338.0,935.0,37.3,270,Very Poor Event; Only 3 points; Only C2
1996/10/19,12:45:05,120.0,25,71.0,74.0,68.0,0.0,-0.3,118,Not LE
1996/10/19,17:17:05,159.0,170,480.0,369.0,593.0,600.0,9.4,124,Partial Halo
1996/10/20,09:01:41,68.0,31,74.0,,,,,61,Only 2 points; Only C2
1996/10/20,13:19:08,300.0,35,254.0,237.0,270.0,344.0,2.7,295,
1996/10/22,20:44:01,205.0,10,,,,,,211,Very Poor Event; Only C3; Unable to measure
1996/10/24,02:35:06,41.0,34,176.0,143.0,210.0,307.0,3.4,54,Poor Event
1996/10/26,20:19:42,308.0,42,64.0,46.0,83.0,223.0,2.0,312,Poor Event; Only C2
1996/10/27,13:57:34,295.0,17,76.0,76.0,76.0,77.0,0.0,299,
1996/10/28,20:29:14,279.0,42,206.0,0.0,427.0,484.0,11.0,293,
1996/10/30,05:40:05,247.0,25,582.0,565.0,598.0,618.0,2.6,253,
1996/10/30,07:11:06,87.0,40,217.0,160.0,273.0,459.0,8.2,91,
1996/10/31,06:25:06,256.0,16,455.0,587.0,327.0,0.0,-21.7,260,
1996/11/01,03:21:05,257.0,7,357.0,449.0,263.0,0.0,-34.9,261,Only 3 points; Only C2
1996/11/03,13:11:09,279.0,47,185.0,191.0,179.0,0.0,-1.8,270,Poor Event
1996/11/04,02:35:05,266.0,17,524.0,532.0,516.0,481.0,-2.4,271,
1996/11/04,17:52:23,104.0,41,90.0,74.0,106.0,183.0,1.2,114,Only C2
1996/11/04,22:15:05,260.0,20,573.0,408.0,726.0,1044.0,41.7,269,
1996/11/05,02:35:06,274.0,63,108.0,124.0,92.0,0.0,-2.6,276,Poor Event; Only C2
1996/11/06,06:05:05,100.0,43,347.0,478.0,221.0,0.0,-16.8,89,
1996/11/07,07:25:05,113.0,36,97.0,94.0,101.0,142.0,0.6,106,Poor Event
1996/11/07,23:20:05,,360,497.0,366.0,630.0,586.0,8.7,114,
1996/11/08,14:42:21,288.0,70,87.0,43.0,132.0,263.0,3.0,285,
1996/11/09,00:05:05,355.0,169,157.0,135.0,179.0,290.0,3.1,281,Partial Halo
1996/11/13,14:21:05,330.0,4,,,,,,327,Poor Event; Only 1 point; Only C2
